Subject,Cat #,Section,Code,Instructor
ESOC,314,101,ESOC 314 101,"Abdi,Shadee"
ESOC,314,401,ESOC 314 401,"Rushbrook,Dereka A"
ESOC,314,401,ESOC 314 401,"Abdi,Shadee"
ESOC,314,401,ESOC 314 401,"Braitberg,Victor E"
ESOC,315,101,ESOC 315 101,"Lenhart,Laura R"
ESOC,315,401,ESOC 315 401,"Lenhart,Laura R"
ESOC,317,101,ESOC 317 101,"Lysenko,Volodymyr"
ESOC,317,401,ESOC 317 401,"Lysenko,Volodymyr"
ESOC,318,101,ESOC 318 101,"Smith,Sean W"
ESOC,318,401,ESOC 318 401,"Smith,Sean W"
ESOC,319,101,ESOC 319 101,"Ziska Strange,Kristin"
ESOC,319,101A,ESOC 319 101A,"Ziska Strange,Kristin"
ESOC,319,401,ESOC 319 401,"Ziska Strange,Kristin"
ESOC,319,401A,ESOC 319 401A,"Ziska Strange,Kristin"
ESOC,330,101,ESOC 330 101,"Jenkins,Michael W"
ESOC,330,101,ESOC 330 101,"Jenkins,Michael W"
ESOC,330,201,ESOC 330 201,"Jenkins,Michael W"
ESOC,330,401,ESOC 330 401,"Jenkins,Michael W"
ESOC,330,401,ESOC 330 401,"Jenkins,Michael W"
ESOC,340,101,ESOC 340 101,"Apple,Harrison"
ESOC,340,401,ESOC 340 401,"Apple,Harrison"
EVS,260,101,EVS 260 101,"Decker,Paula"
EVS,260,401,EVS 260 401,"Decker,Paula"
FCM,301,1,FCM 301 1,"Allen,Alicia Marie"
FCM,301,401,FCM 301 401,"Allen,Alicia Marie"
FCM,302,1,FCM 302 1,"Nair,Uma S"
FCM,302,401,FCM 302 401,"Nair,Uma S"
FCM,496A,1,FCM 496A 1,"Allen,Alicia Marie"
FCM,496A,1,FCM 496A 1,"Nair,Uma S"
FCM,496A,401,FCM 496A 401,"Allen,Alicia Marie"
FCM,496A,401,FCM 496A 401,"Nair,Uma S"
FCM,596A,1,FCM 596A 1,"Allen,Alicia Marie"
FCM,596A,1,FCM 596A 1,"Nair,Uma S"
FCM,596A,401,FCM 596A 401,"Allen,Alicia Marie"
FCM,596A,401,FCM 596A 401,"Nair,Uma S"
FCSC,120,101,FCSC 120 101,"Jondall,Dava R"
FCSC,120,101,FCSC 120 101,"Yitayew,Muluneh"
FCSC,120,401,FCSC 120 401,"Jondall,Dava R"
FCSC,120,401,FCSC 120 401,"Yitayew,Muluneh"
FCSC,413A,101,FCSC 413A 101,"Harless,Patrick"
FCSC,413A,401,FCSC 413A 401,"Harless,Patrick"
FCSC,513A,101,FCSC 513A 101,"Harless,Patrick"
FCSC,513A,401,FCSC 513A 401,"Harless,Patrick"
FREN,150B1,101,FREN 150B1 101,"Kaye,Deborah A"
FREN,150B1,101,FREN 150B1 101,"Provencher,Denis Michael"
FREN,150B1,401,FREN 150B1 401,"Kaye,Deborah A"
FREN,150B1,401,FREN 150B1 401,"Provencher,Denis Michael"
FREN,230,101,FREN 230 101,"Coropceanu,Lilia Lacusta"
FREN,230,101,FREN 230 101,"Provencher,Denis Michael"
FREN,230,401,FREN 230 401,"Coropceanu,Lilia Lacusta"
